1044389855|88|"CHRISTOPHER RADKO Trim A Tree O PIN 2 for1!!!"|4.99|1|4.99|2001-12-05 17:54:27|2001-12-15 17:54:27
1044392363|90|"DISNEY PINOCCHIO COOKIE JAR - NEW- MIB"|33.90|0|33.90|2001-12-05 17:58:13|2001-12-15 17:58:13
1044407002|91|"LLADRO #7644: INNOCENCE in BLOOM (mint in box"|199.99|0|199.99|2001-12-05 18:14:38|2001-12-15 18:14:38
1044412792|92|"18 Old pt fruit jars, glass lids&wire closure"|1.00|7|15.50|2001-12-05 18:21:35|2001-12-15 18:21:35
1044417566|100|"unread Wolverine miniseries #1-3"|13.00|1|13.00|2001-12-05 18:31:00|2001-12-15 18:31:00
1044429906|102|"1967 March Boris Karloff #17 March Gold Key"|3.05|0|3.05|2001-12-05 18:43:41|2001-12-15 18:43:41
1044448350|103|"FREARM #1 MALIBU COMICS COMIC BOOK NR"|1.50|0|1.50|2001-12-05 19:02:12|2001-12-15 19:02:12
1044458000|0|"department 56 ceramic santa claus"|24.00|0|24.00|2001-12-05 19:10:12|2001-12-15 19:10:12
1044517180|104|"Buick street sign,Great gift idea!"|9.95|0|9.95|2001-12-05 20:19:42|2001-12-10 20:19:42
1044520426|105|"CIRCUS COPPER COOKIE CUTTER MINT SET"|9.99|7|36.00|2001-12-05 20:25:46|2001-12-15 20:25:46
1044521948|111|"1981 Hallmark Family Tree Ornament - MINT"|6.99|0|6.99|2001-12-05 20:31:00|2001-12-15 20:31:00
1044527090|111|"1993 Hallmark Cool Santa (Coca Cola) - Club"|6.99|0|6.99|2001-12-05 20:36:49|2001-12-15 20:36:49
1044553439|112|"William R. Hearst; Letter & Photo From Lady!"|15.00|0|15.00|2001-12-05 21:32:20|2001-12-15 21:32:20
1044575304|113|"Kim Anderson's pretty as a picture MUSICAL"|34.50|1|34.50|2001-12-05 23:11:28|2001-12-15 23:11:28
1044583004|115|"Old Wooden Corkscrew #35"|4.00|0|4.00|2001-12-06 19:19:32|2001-12-16 19:19:32
1044589232|116|"1950s CHEESE/FOOD GRINDER [GLASS BODY] nr"|0.99|0|0.99|2001-12-06 01:38:26|2001-12-16 01:38:26
1044589406|117|"1950's-60's FLOUR SIFTER by WILLOW"|4.99|1|4.99|2001-12-06 01:41:38|2001-12-16 01:41:38
1044638123|74|"X-MEN #164.1983.FIRST APP.BINARY! NEAR MINT +"|8.50|0|8.50|2001-12-06 07:52:10|2001-12-16 07:52:10
